contrast,progress_bin,medication,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication
ASD / CTRL,01,BOTH,1.4793364874711623,0.5099297278761402,Inf,1,1.1360365352895752,0.2559412740045751,,01_BOTH
ASD / CTRL,02,BOTH,1.312834923877094,0.4476250020969595,Inf,1,0.7983000136252278,0.42469641013692233,,02_BOTH
ASD / CTRL,03,BOTH,1.5290468747314614,0.5186893891568705,Inf,1,1.2518117528316217,0.21063846655468807,,03_BOTH
ASD / CTRL,04,BOTH,1.6355845931826534,0.5554858367002404,Inf,1,1.4486563664765342,0.1474335715057096,,04_BOTH
ASD / CTRL,05,BOTH,1.5099171249577725,0.5011159633331262,Inf,1,1.241566008469544,0.21439672971091034,,05_BOTH
ASD / CTRL,06,BOTH,1.7309437514406794,0.5800220919882708,Inf,1,1.6373709709007787,0.10155297993614182,,06_BOTH
ASD / CTRL,07,BOTH,1.0664238176594858,0.35542406056536463,Inf,1,0.1929599099967575,0.8469903651730192,,07_BOTH
ASD / CTRL,08,BOTH,1.2717857067885037,0.4251004621553615,Inf,1,0.7192775979644312,0.47196989596711847,,08_BOTH
ASD / CTRL,09,BOTH,1.5505038232647703,0.522149104566056,Inf,1,1.3023480173879216,0.1927974440154342,,09_BOTH
ASD / CTRL,10,BOTH,1.0337444667757634,0.3462761804041464,Inf,1,0.09907557918197127,0.9210782616615009,,10_BOTH
ASD / CTRL,11,BOTH,1.3498404394302916,0.45030522068276146,Inf,1,0.8992428806274554,0.36852330455626603,,11_BOTH
ASD / CTRL,12,BOTH,2.184034659616129,0.7415069090132622,Inf,1,2.300869907221298,0.02139898553048696,*,12_BOTH
ASD / CTRL,13,BOTH,1.5470583357858183,0.5209005624383818,Inf,1,1.2959614977285094,0.19498875007432523,,13_BOTH
ASD / CTRL,14,BOTH,1.0344795293540545,0.3474427323836355,Inf,1,0.10092953080254957,0.9196064006088729,,14_BOTH
ASD / CTRL,15,BOTH,1.747309056884122,0.5853288802921867,Inf,1,1.6659571982858887,0.09572193978811165,,15_BOTH
ASD / CTRL,16,BOTH,1.5261922412343318,0.5126008450883642,Inf,1,1.2587519271924008,0.20811994901101646,,16_BOTH
ASD / CTRL,17,BOTH,1.5915754898476686,0.5449066421353914,Inf,1,1.357377405588607,0.17466132365106815,,17_BOTH
ASD / CTRL,18,BOTH,1.477558631805241,0.5002553841737749,Inf,1,1.1530626867676994,0.24888465551143454,,18_BOTH
ASD / CTRL,19,BOTH,1.7722853995262624,0.5987535061101356,Inf,1,1.693895029961219,0.09028523155670917,,19_BOTH
ASD / CTRL,20,BOTH,1.493120730001843,0.5143445966207135,Inf,1,1.1637040441351825,0.24454396995689145,,20_BOTH
ASD / CTRL,01,NAL,1.2402104505179152,0.439323021886475,Inf,1,0.6077392626849363,0.543360418155298,,01_NAL
ASD / CTRL,02,NAL,1.2598076099799749,0.4471490371114895,Inf,1,0.6507090597211366,0.5152343137979434,,02_NAL
ASD / CTRL,03,NAL,1.6120365100273066,0.5696309785586902,Inf,1,1.3513041079706072,0.1765980366569184,,03_NAL
ASD / CTRL,04,NAL,0.7453460549042954,0.27428048311419634,Inf,1,-0.7986794063770634,0.42447633089111025,,04_NAL
ASD / CTRL,05,NAL,1.00609291821709,0.3534226831000859,Inf,1,0.017292162476807406,0.9862035381073915,,05_NAL
ASD / CTRL,06,NAL,1.498713313096665,0.5153525080287447,Inf,1,1.1766505667087632,0.23933500595268895,,06_NAL
ASD / CTRL,07,NAL,1.098130700169396,0.3828374222348921,Inf,1,0.2685090795500264,0.788307486928134,,07_NAL
ASD / CTRL,08,NAL,1.1288078768244691,0.39692632835774416,Inf,1,0.3445695652097183,0.7304179895074945,,08_NAL
ASD / CTRL,09,NAL,1.222725854303013,0.4220770571183765,Inf,1,0.5825215543618102,0.5602154273195137,,09_NAL
ASD / CTRL,10,NAL,1.0505381824753623,0.3717357115611171,Inf,1,0.1393308448830772,0.8891887169020046,,10_NAL
ASD / CTRL,11,NAL,1.2995925090003655,0.4467680166398729,Inf,1,0.7622730207159479,0.4458970725910969,,11_NAL
ASD / CTRL,12,NAL,0.8212627274398834,0.2861409069221067,Inf,1,-0.5651644211007408,0.571961934106418,,12_NAL
ASD / CTRL,13,NAL,0.8837453165665459,0.3059423958252146,Inf,1,-0.3569916084470903,0.721098087878417,,13_NAL
ASD / CTRL,14,NAL,0.9789834099757995,0.336718662358423,Inf,1,-0.06175534710041986,0.9507576634267586,,14_NAL
ASD / CTRL,15,NAL,0.7787040201875772,0.2658985849044806,Inf,1,-0.7325077039775935,0.4638587422392169,,15_NAL
ASD / CTRL,16,NAL,0.5733141122872822,0.20151792778219138,Inf,1,-1.5827226088185526,0.1134847028339807,,16_NAL
ASD / CTRL,17,NAL,0.8177274394022043,0.2886556151436792,Inf,1,-0.5700501840839826,0.5686436612934462,,17_NAL
ASD / CTRL,18,NAL,0.6881867627555438,0.2454565250488949,Inf,1,-1.0477291907030268,0.2947633945219865,,18_NAL
ASD / CTRL,19,NAL,0.9142069007261048,0.3280907762948275,Inf,1,-0.2499395592637487,0.8026340899985874,,19_NAL
