model,term,Estimate,Std. Error,z value,p_value,p_display,sig,significant_0_05,trait,selected_model
AQ_main_analogue,(Intercept),-1.159202265561354,0.08108122130868847,-14.29680321597643,2.2909392979228923e-46,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,AQ_z,-0.03330452886950169,0.06265304465595217,-0.5315707967966676,0.5950232953646774,0.595,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.L,0.6753640841858375,0.12306672149182156,5.4877880551219445,4.0699798003276425e-8,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,fix.Q,1.120612432267964,0.12955847098435497,8.649472502676304,5.173802065916627e-18,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,fix.C,-0.02290949056884207,0.13457325918398583,-0.17023805998129746,0.8648229210175064,0.865,,FALSE,AQ,main_analogue
AQ_main_analogue,medicationNAL,0.06959912517915617,0.08254841758605169,0.8431309432019497,0.3991552147143057,0.399,,FALSE,AQ,main_analogue
AQ_main_analogue,medicationOXT,-0.0038861446857014694,0.0824416039196512,-0.047138149925964115,0.962403121874242,0.962,,FALSE,AQ,main_analogue
AQ_main_analogue,medicationPLA,0.006096147173735773,0.0837642596358151,0.07277742560180454,0.9419832350703755,0.942,,FALSE,AQ,main_analogue
AQ_main_analogue,Sexm,0.0506629476719924,0.05887240094808889,0.8605551473374556,0.38948309808604026,0.389,,FALSE,AQ,main_analogue
AQ_main_analogue,sessionsession_2,-0.03753359508246715,0.08344425880634758,-0.44980440379454817,0.652851482193612,0.653,,FALSE,AQ,main_analogue
AQ_main_analogue,sessionsession_3,-0.023445571882622508,0.08344994616144281,-0.2809537089127002,0.778745905206716,0.779,,FALSE,AQ,main_analogue
AQ_main_analogue,sessionsession_4,-0.02424074402826643,0.08302236491606017,-0.2919784813739653,0.7703030768196889,0.770,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.L,0.22039491346130236,0.11927524876722102,1.847784144147355,0.06463357557517681,0.065,.,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.Q,0.25986371090382765,0.12466236970475614,2.084540118395594,0.03711106494798674,0.037,*,TRUE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.C,0.2321835379324697,0.12975119704150026,1.7894519914001794,0.07354205259842071,0.074,.,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:medicationNAL,-0.02041350154224274,0.08239156967056188,-0.24776201769021994,0.8043185442525275,0.804,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:medicationOXT,-0.02530439842267029,0.08224215633699927,-0.30768160210904266,0.7583246204339102,0.758,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:medicationPLA,0.003931149064146304,0.0836093029374534,0.04701808203193758,0.962498816088408,0.962,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.L:medicationNAL,0.009050633690749106,0.15847512058138516,0.05711075440451322,0.9544569696313044,0.954,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.Q:medicationNAL,-0.11652919346967065,0.16488151837240628,-0.7067450289150926,0.4797249413078063,0.480,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.C:medicationNAL,0.10617356958823954,0.17106301232007268,0.6206693553927382,0.5348171962811403,0.535,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.L:medicationOXT,-0.08931715685404504,0.1571502759357648,-0.5683550749255664,0.5697938889542595,0.570,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.Q:medicationOXT,-0.06732882805552814,0.16390814468353737,-0.41077170500295784,0.6812399426594624,0.681,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.C:medicationOXT,-0.0964237697172758,0.17032971577583794,-0.5661006905229273,0.5713253339199924,0.571,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.L:medicationPLA,-0.010483180801191242,0.15766427274333117,-0.06649052837897707,0.9469872982822064,0.947,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.Q:medicationPLA,0.12357932801904072,0.16459026108822944,0.7508301354039131,0.452754890732039,0.453,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.C:medicationPLA,-0.020427832319193314,0.1712486797471996,-0.11928753173075116,0.9050475612042915,0.905,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:Sexm,0.06821331112460133,0.0592427669040406,1.1514200752151045,0.2495594588165335,0.250,,FALSE,AQ,main_analogue
AQ_main_analogue,fix.L:Sexm,-0.4753453744234356,0.11317559365765346,-4.200069635696499,2.6683290149003218e-5,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,fix.Q:Sexm,-0.3818917800041066,0.11780560178340575,-3.241711550408636,0.0011881421373440774,0.001,**,TRUE,AQ,main_analogue
AQ_main_analogue,fix.C:Sexm,-0.33317468487232044,0.12225190222128397,-2.7253128893589924,0.0064240576628095064,0.006,**,TRUE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.L:medicationNAL,0.033474518539395544,0.15865117294581807,0.21099445984447673,0.8328915944489005,0.833,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.Q:medicationNAL,-0.10664012114214451,0.16382906319793253,-0.65092309667489,0.5150961311226727,0.515,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.C:medicationNAL,-0.05914190462693136,0.16878307830156278,-0.3504018603172008,0.7260371304555793,0.726,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.L:medicationOXT,0.07838885966455629,0.15743586849284552,0.4979097864735861,0.6185476291491971,0.619,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.Q:medicationOXT,-0.1638993229599641,0.16353173068610727,-1.0022478345475496,0.3162239101737806,0.316,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.C:medicationOXT,0.0036956379826404407,0.1693029594516349,0.02182854921503118,0.9825847206291093,0.983,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix.L:medicationPLA,0.067530971470001,0.1572602639070256,0.42942171017801567,0.6676163572203231,0.668,,FALSE,AQ,main_analogue
