trait,model,formula,n_observations,AIC,BIC,logLik,delta_AIC,delta_BIC,AIC_rank
AQ,trait_aoi,percentage_fix_duration ~ AQ_z * fix + fix * medication + fix *      Sex + session,879,-975.4237697179456,-841.6177925827606,515.7118848589728,0,7.699287553841032,1
AQ,trait_aoi_sex,percentage_fix_duration ~ AQ_z * fix * Sex + fix * medication +      session,879,-974.8983560095417,-821.977239283616,519.4491780047708,0.525413708403903,27.339840852985617,2
AQ,no_trait,percentage_fix_duration ~ fix * medication + fix * Sex + session,879,-964.0079176810458,-849.3170801366016,506.0039588405229,11.415852036899764,0,3
AQ,trait_main,percentage_fix_duration ~ AQ_z + fix * medication + fix * Sex +      session,879,-962.0746195998865,-842.6049971577571,506.0373097999433,13.349150118059015,6.712082978844478,4
AQ,trait_aoi_medication,percentage_fix_duration ~ AQ_z * fix * medication + fix * Sex +      session,879,-953.4343076642406,-762.2829117568335,516.7171538321203,21.989462053704983,87.03416837976806,5
AQ,main_analogue,percentage_fix_duration ~ AQ_z * fix * medication + AQ_z * fix *      Sex + session,879,-952.9498729568802,-742.6833374587325,520.4749364784401,22.47389676106536,106.63374267786912,6
