model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05,trait,selected_model
AQ_main_analogue,(Intercept),204.39858219635403,1,2.2909392979228585e-46,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,AQ_z,0.282567512007044,1,0.5950232953646776,0.595,,FALSE,AQ,main_analogue
AQ_main_analogue,fix,105.2696530550687,3,1.143260623010438e-22,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,medication,1.0365878656953706,3,0.7923997343813248,0.792,,FALSE,AQ,main_analogue
AQ_main_analogue,Sex,0.74055516160899,1,0.3894830980860402,0.389,,FALSE,AQ,main_analogue
AQ_main_analogue,session,0.21118820102707217,3,0.9757632458600457,0.976,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix,11.819870829300829,3,0.008026381626230893,0.008,**,TRUE,AQ,main_analogue
AQ_main_analogue,AQ_z:medication,0.18502666958345304,3,0.9799695240236335,0.980,,FALSE,AQ,main_analogue
AQ_main_analogue,fix:medication,4.290509180136774,9,0.8912729963012409,0.891,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:Sex,1.3257681896083569,1,0.2495594588165336,0.250,,FALSE,AQ,main_analogue
AQ_main_analogue,fix:Sex,38.111784730056534,3,2.6765668183514485e-8,<0.001,***,TRUE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix:medication,1.8041558926300854,9,0.9941995632761427,0.994,,FALSE,AQ,main_analogue
AQ_main_analogue,AQ_z:fix:Sex,6.459896496202733,3,0.09125757537994506,0.091,.,FALSE,AQ,main_analogue
AQ_best_aic,(Intercept),207.80047814807915,1,4.147161035694748e-47,<0.001,***,TRUE,AQ,trait_aoi
AQ_best_aic,AQ_z,0.22733872020174287,1,0.6335041871181711,0.634,,FALSE,AQ,trait_aoi
AQ_best_aic,fix,109.1738271876566,3,1.6524514686528593e-23,<0.001,***,TRUE,AQ,trait_aoi
AQ_best_aic,medication,1.0904077461013846,3,0.7793901821218274,0.779,,FALSE,AQ,trait_aoi
AQ_best_aic,Sex,0.6112661043553477,1,0.4343114973763148,0.434,,FALSE,AQ,trait_aoi
AQ_best_aic,session,0.15996095018007728,3,0.9837783810802319,0.984,,FALSE,AQ,trait_aoi
AQ_best_aic,AQ_z:fix,19.47057093990208,3,2.1849667745210693e-4,<0.001,***,TRUE,AQ,trait_aoi
AQ_best_aic,fix:medication,4.256944295260104,9,0.8937018410244593,0.894,,FALSE,AQ,trait_aoi
AQ_best_aic,fix:Sex,37.63852890366404,3,3.371040892794571e-8,<0.001,***,TRUE,AQ,trait_aoi
SIAS_main_analogue,(Intercept),202.79789297633954,1,5.12023244141458e-46,<0.001,***,TRUE,SIAS,main_analogue
SIAS_main_analogue,SIAS_z,0.16720944548255237,1,0.682603863868088,0.683,,FALSE,SIAS,main_analogue
SIAS_main_analogue,fix,103.78672988737289,3,2.383057707624692e-22,<0.001,***,TRUE,SIAS,main_analogue
SIAS_main_analogue,medication,1.0978949245709473,3,0.7775822813793017,0.778,,FALSE,SIAS,main_analogue
SIAS_main_analogue,Sex,1.0164547643402737,1,0.31336142756887997,0.313,,FALSE,SIAS,main_analogue
SIAS_main_analogue,session,0.22915378105552478,3,0.972751072965611,0.973,,FALSE,SIAS,main_analogue
SIAS_main_analogue,SIAS_z:fix,5.347449838962491,3,0.14805290657234868,0.148,,FALSE,SIAS,main_analogue
SIAS_main_analogue,SIAS_z:medication,0.2229426198632937,3,0.9738032598032756,0.974,,FALSE,SIAS,main_analogue
SIAS_main_analogue,fix:medication,4.603622638226952,9,0.867403450308412,0.867,,FALSE,SIAS,main_analogue
SIAS_main_analogue,SIAS_z:Sex,1.2405239148221494,1,0.26537010655244514,0.265,,FALSE,SIAS,main_analogue
SIAS_main_analogue,fix:Sex,32.674535712203166,3,3.7721457381335205e-7,<0.001,***,TRUE,SIAS,main_analogue
SIAS_main_analogue,SIAS_z:fix:medication,3.102270852119374,9,0.9601017271055325,0.960,,FALSE,SIAS,main_analogue
SIAS_main_analogue,SIAS_z:fix:Sex,3.252992936858997,3,0.354238920924538,0.354,,FALSE,SIAS,main_analogue
SIAS_best_aic,(Intercept),210.24340416410595,1,1.2155198617856984e-47,<0.001,***,TRUE,SIAS,trait_aoi
SIAS_best_aic,SIAS_z,0.021706364642382632,1,0.8828709228155427,0.883,,FALSE,SIAS,trait_aoi
SIAS_best_aic,fix,106.40115806469991,3,6.527110410884454e-23,<0.001,***,TRUE,SIAS,trait_aoi
SIAS_best_aic,medication,1.1609022606526158,3,0.7623960124535181,0.762,,FALSE,SIAS,trait_aoi
SIAS_best_aic,Sex,1.0112105996580965,1,0.3146129914084341,0.315,,FALSE,SIAS,trait_aoi
SIAS_best_aic,session,0.1224548069605496,3,0.989012875398342,0.989,,FALSE,SIAS,trait_aoi
SIAS_best_aic,SIAS_z:fix,13.748801635585506,3,0.003267803818995734,0.003,**,TRUE,SIAS,trait_aoi
SIAS_best_aic,fix:medication,4.520321373828711,9,0.8739615004132211,0.874,,FALSE,SIAS,trait_aoi
SIAS_best_aic,fix:Sex,32.211974980743186,3,4.721841772254171e-7,<0.001,***,TRUE,SIAS,trait_aoi
