model,contrast_family,fix,term,contrast,null.value,estimate,std.error,df,statistic,p.value,medication,Sex,p_display,sig,significant_0_05
exclude_asd_medication_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.35059018013825904,0.29319582776087794,Inf,-1.195754328483113,0.23179244343214558,NAL/OXT,NA,0.232,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.33757869214382336,0.32024164830337865,Inf,1.0541373801074763,0.29182002445037614,NAL/OXT,NA,0.292,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.3327536106748036,0.3147607127727887,Inf,-1.0571637347733518,0.2904368676047377,NAL/OXT,NA,0.290,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.5205583629508073,0.2754281092073242,Inf,1.8899972281295556,0.058758330797789374,NAL/OXT,NA,0.059,.,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.18234747530273487,0.29121632655782753,Inf,-0.6261581466193163,0.5312112162704109,NAL/PLA,NA,0.531,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.3484720414717944,0.3054513052902303,Inf,1.1408431898521014,0.25393518391821035,NAL/PLA,NA,0.254,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Face,Group,ASD - CTRL,0,-0.16005148654303947,0.30196689522858866,Inf,-0.5300299108015819,0.5960911927352783,NAL/PLA,NA,0.596,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Background,Group,ASD - CTRL,0,0.1655920538565066,0.2667864344809532,Inf,0.620691431251647,0.5348026683769586,NAL/PLA,NA,0.535,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Eyes,Group,ASD - CTRL,0,-0.4605589596731261,0.28343079577921887,Inf,-1.6249432543381168,0.1041746505570053,PLA/OXT,NA,0.104,,FALSE
exclude_asd_medication_records,group_by_aoi_medication,Mouth,Group,ASD - CTRL,0,0.5260858747206798,0.307422987076608,Inf,1.7112769598767263,0.08702999752781461,PLA/OXT,NA,0.087,.,FALSE
