model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
adjust_asd_medication_disorder_records,Group,0.17293134057915455,1,0.677519664915653,0.678,,FALSE
exclude_asd_disorder_records,Group,0.0036898305330605036,1,0.9515631091105872,0.952,,FALSE
exclude_asd_medication_or_disorder_records,Group,0.007216032463674155,1,0.9323033406360556,0.932,,FALSE
exclude_asd_medication_records,Group,4.308966271926605e-4,1,0.9834386620142911,0.983,,FALSE
full_anonymized,Group,0.3694151912235924,1,0.5433232116859326,0.543,,FALSE
full_sample_influence,Group,1.7833048525221466e-9,1,0.9999663059778506,1.000,,FALSE
adjust_asd_medication_disorder_records,Group:fix,16.452189896520387,3,9.158653620241343e-4,<0.001,***,TRUE
exclude_asd_disorder_records,Group:fix,14.71771740031789,3,0.002074481080283825,0.002,**,TRUE
exclude_asd_medication_or_disorder_records,Group:fix,23.565082932244103,3,3.078647640524259e-5,<0.001,***,TRUE
exclude_asd_medication_records,Group:fix,16.913240097291858,3,7.36380155588754e-4,<0.001,***,TRUE
full_anonymized,Group:fix,16.398217841164346,3,9.395331804946857e-4,<0.001,***,TRUE
full_sample_influence,Group:fix,14.25546800203573,3,0.0025772566283170932,0.003,**,TRUE
adjust_asd_medication_disorder_records,Group:fix:Sex,21.28763391985932,3,9.174429586738773e-5,<0.001,***,TRUE
exclude_asd_disorder_records,Group:fix:Sex,29.56051383886523,3,1.7073469819989585e-6,<0.001,***,TRUE
exclude_asd_medication_or_disorder_records,Group:fix:Sex,37.48312072913465,3,3.63627255572898e-8,<0.001,***,TRUE
exclude_asd_medication_records,Group:fix:Sex,22.992887657800207,3,4.052110160861783e-5,<0.001,***,TRUE
full_anonymized,Group:fix:Sex,21.39094868941595,3,8.731904498140777e-5,<0.001,***,TRUE
full_sample_influence,Group:fix:Sex,25.143640993800474,3,1.440871023071561e-5,<0.001,***,TRUE
adjust_asd_medication_disorder_records,Group:fix:medication,6.129125194756594,9,0.7269285659702138,0.727,,FALSE
exclude_asd_disorder_records,Group:fix:medication,6.893565080878898,9,0.6481998811617333,0.648,,FALSE
exclude_asd_medication_or_disorder_records,Group:fix:medication,6.100094598363394,9,0.7298601027715966,0.730,,FALSE
exclude_asd_medication_records,Group:fix:medication,5.982251970728129,9,0.7416932722130718,0.742,,FALSE
full_anonymized,Group:fix:medication,6.138779343950248,9,0.7259523291453306,0.726,,FALSE
full_sample_influence,Group:fix:medication,5.961768219470707,9,0.7437385199572735,0.744,,FALSE
adjust_asd_medication_disorder_records,Group:medication,0.046569541775555647,3,0.9973642005444064,0.997,,FALSE
exclude_asd_disorder_records,Group:medication,0.16097936713381458,3,0.9836281751984765,0.984,,FALSE
exclude_asd_medication_or_disorder_records,Group:medication,0.04336819540547504,3,0.9976289950054729,0.998,,FALSE
exclude_asd_medication_records,Group:medication,0.09757476397256713,3,0.9921268648110877,0.992,,FALSE
full_anonymized,Group:medication,0.04473166927066465,3,0.9975173191013145,0.998,,FALSE
full_sample_influence,Group:medication,0.04556086975888172,3,0.9974486003117313,0.997,,FALSE
adjust_asd_medication_disorder_records,Sex,0.8412625336661612,1,0.3590359350708743,0.359,,FALSE
asd_disorder_influence,Sex,0.13092105838054388,1,0.7174789591398522,0.717,,FALSE
asd_disorder_responsiveness,Sex,0.1460065324745541,1,0.7023812495636687,0.702,,FALSE
asd_joint_influence,Sex,0.006686954623077866,1,0.934826589603746,0.935,,FALSE
asd_medication_influence,Sex,5.63479070366575e-4,1,0.9810618229774468,0.981,,FALSE
asd_medication_responsiveness,Sex,6.659553504202932e-8,1,0.999794097029118,1.000,,FALSE
exclude_asd_disorder_records,Sex,0.24410091936350903,1,0.6212597782334475,0.621,,FALSE
exclude_asd_medication_or_disorder_records,Sex,0.3653500218653652,1,0.5455498795316679,0.546,,FALSE
exclude_asd_medication_records,Sex,0.6928152385391492,1,0.4052084612769215,0.405,,FALSE
full_anonymized,Sex,1.2223652041257311,1,0.26889697873128926,0.269,,FALSE
full_sample_influence,Sex,0.22194794747112312,1,0.6375596717350972,0.638,,FALSE
asd_disorder_influence,any_disorder_record_factor,0.0030949984194497317,1,0.9556344060533273,0.956,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor,0.11410575404002508,1,0.7355173523203953,0.736,,FALSE
asd_joint_influence,any_disorder_record_factor,0.04884987395542692,1,0.825076801190181,0.825,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor:fix,1.7981323202268433,3,0.6153414481745065,0.615,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor:fix:medication,2.9971946294960934,9,0.964406091444648,0.964,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor:medication,0.33207811512386254,3,0.9538867487387542,0.954,,FALSE
asd_joint_influence,any_medication_record_factor,0.7020818537536689,1,0.4020850442046083,0.402,,FALSE
asd_medication_influence,any_medication_record_factor,0.8345129545287243,1,0.36097079890685635,0.361,,FALSE
asd_medication_responsiveness,any_medication_record_factor,0.39426705205085877,1,0.5300649426138714,0.530,,FALSE
asd_medication_responsiveness,any_medication_record_factor:fix,1.429122752094271,3,0.6987226193340145,0.699,,FALSE
asd_medication_responsiveness,any_medication_record_factor:fix:medication,0.9082666603668963,9,0.9996214249090558,1.000,,FALSE
asd_medication_responsiveness,any_medication_record_factor:medication,0.12610187001559836,3,0.9885308615070877,0.989,,FALSE
adjust_asd_medication_disorder_records,asd_disorder_record_factor,0.341459798397472,1,0.558987808207698,0.559,,FALSE
full_sample_influence,asd_disorder_record_factor,0.02389582036142578,1,0.8771502859236817,0.877,,FALSE
adjust_asd_medication_disorder_records,asd_medication_record_factor,0.669384145272141,1,0.4132664044236077,0.413,,FALSE
