predictor,group,fix,mean_duration,sem,n_observations,n_participants,lower,upper,group_label
Comorbidity type,ADHD only,Eyes,0.29960865904668454,0.043277808014455674,23,8,0.25633085103222886,0.34288646706114023,ADHD only (N = 8)
Comorbidity type,ADHD only,Mouth,0.1991659203951833,0.04162271648425659,23,8,0.15754320391092672,0.24078863687943988,ADHD only (N = 8)
Comorbidity type,ADHD only,Face,0.1598559688834922,0.01904399424617429,23,8,0.14081197463731793,0.1788999631296665,ADHD only (N = 8)
Comorbidity type,ADHD only,Background,0.3413694516746398,0.044616706427070905,23,8,0.2967527452475689,0.38598615810171066,ADHD only (N = 8)
Comorbidity type,Depression only,Eyes,0.21284450810607203,0.03236514595851639,22,6,0.18047936214755564,0.24520965406458842,Depression only (N = 6)
Comorbidity type,Depression only,Mouth,0.09484400180457386,0.022874389763517276,22,6,0.07196961204105659,0.11771839156809114,Depression only (N = 6)
Comorbidity type,Depression only,Face,0.12384522240647731,0.019003858579696067,22,6,0.10484136382678125,0.14284908098617338,Depression only (N = 6)
Comorbidity type,Depression only,Background,0.5684662676828768,0.047993761057811245,22,6,0.5204725066250655,0.6164600287406881,Depression only (N = 6)
Comorbidity type,No disorder record,Eyes,0.31692457301355315,0.03574510330447252,33,9,0.28117946970908064,0.35266967631802565,No disorder record (N = 9)
Comorbidity type,No disorder record,Mouth,0.17711450606093532,0.02422139861836308,33,9,0.15289310744257223,0.2013359046792984,No disorder record (N = 9)
Comorbidity type,No disorder record,Face,0.15991866558690232,0.018096354629090386,33,9,0.14182231095781195,0.1780150202159927,No disorder record (N = 9)
Comorbidity type,No disorder record,Background,0.34604225533860894,0.03431985927037415,33,9,0.3117223960682348,0.38036211460898306,No disorder record (N = 9)
Comorbidity type,Other/multiple disorder,Eyes,0.3086313410199592,0.03415245443967923,29,8,0.27447888658027997,0.34278379545963844,Other/multiple disorder (N = 8)
Comorbidity type,Other/multiple disorder,Mouth,0.10562391752840247,0.019792276798113878,29,8,0.0858316407302886,0.12541619432651635,Other/multiple disorder (N = 8)
Comorbidity type,Other/multiple disorder,Face,0.14711508071693497,0.014528583575307445,29,8,0.1325864971416275,0.16164366429224242,Other/multiple disorder (N = 8)
Comorbidity type,Other/multiple disorder,Background,0.4386296607347034,0.04212470338205894,29,8,0.39650495735264446,0.4807543641167623,Other/multiple disorder (N = 8)
Prescribed medication type,No medication record,Eyes,0.25505303683370567,0.023145389662035238,43,12,0.23190764717167042,0.2781984264957409,No medication record (N = 12)
Prescribed medication type,No medication record,Mouth,0.1653951284332124,0.019581321509842212,43,12,0.1458138069233702,0.18497644994305462,No medication record (N = 12)
Prescribed medication type,No medication record,Face,0.16737370846214167,0.01560763276537357,43,12,0.1517660756967681,0.18298134122751525,No medication record (N = 12)
Prescribed medication type,No medication record,Background,0.4121781262709403,0.02724680125678983,43,12,0.38493132501415045,0.43942492752773016,No medication record (N = 12)
Prescribed medication type,Other/multiple medication,Eyes,0.35716525221987544,0.029920841602886893,43,13,0.32724441061698856,0.3870860938227623,Other/multiple medication (N = 13)
Prescribed medication type,Other/multiple medication,Mouth,0.12311877300538028,0.017977257292082424,43,13,0.10514151571329786,0.1410960302974627,Other/multiple medication (N = 13)
Prescribed medication type,Other/multiple medication,Face,0.1498053473078732,0.010912554520737427,43,13,0.1388927927871358,0.16071790182861062,Other/multiple medication (N = 13)
Prescribed medication type,Other/multiple medication,Background,0.36991062746687076,0.03419999407751378,43,13,0.33571063338935697,0.40411062154438454,Other/multiple medication (N = 13)
Prescribed medication type,SSRI/SNRI only,Eyes,0.22176246219663864,0.04797112406223697,21,6,0.17379133813440167,0.2697335862588756,SSRI/SNRI only (N = 6)
Prescribed medication type,SSRI/SNRI only,Mouth,0.15091232167928056,0.04737014192242754,21,6,0.10354217975685302,0.1982824636017081,SSRI/SNRI only (N = 6)
Prescribed medication type,SSRI/SNRI only,Face,0.10982076591957493,0.02107025507066091,21,6,0.08875051084891403,0.13089102099023583,SSRI/SNRI only (N = 6)
Prescribed medication type,SSRI/SNRI only,Background,0.5175044502045058,0.06565696337121561,21,6,0.4518474868332901,0.5831614135757214,SSRI/SNRI only (N = 6)
