fix,Sex,term,contrast,null.value,odds.ratio,std.error,df,null,statistic,p.value,label
Eyes,Female,Group,ASD / CTRL,0,0.5215385235280586,0.11005637405143245,Inf,1,-3.0848467427043635,0.0020365706505732343,p = .002
Background,Female,Group,ASD / CTRL,0,1.7500801991150776,0.3678341175980908,Inf,1,2.662756562459186,0.007750346130541528,p = .008
Eyes,Male,Group,ASD / CTRL,0,0.9974829591786754,0.18613376038644927,Inf,1,-0.013505719799161297,0.9892243222793412,p = .989
Background,Male,Group,ASD / CTRL,0,0.8996482415956856,0.16630686875318654,Inf,1,-0.572069530336912,0.5672748705590002,p = .567
