model,term,Estimate,Std. Error,z value,p_value,p_display,sig,significant_0_05
exclude_asd_medication_or_disorder_records,GroupCTRL:fix.C:medicationPLA/PLA,0.11055579125504239,0.5473490465894583,0.20198407568975868,0.8399291733656122,0.840,,FALSE
exclude_asd_medication_or_disorder_records,GroupCTRL:fix.L:Sexm,1.5086465851592943,0.39094040516478984,3.859019342151055,1.1384292833562313e-4,<0.001,***,TRUE
exclude_asd_medication_or_disorder_records,GroupCTRL:fix.Q:Sexm,-0.9878040591721499,0.3964872179822024,-2.4913894177957854,0.012724457007937603,0.013,*,TRUE
exclude_asd_medication_or_disorder_records,GroupCTRL:fix.C:Sexm,1.7022994473966921,0.4026137750164266,4.228120230926621,2.356518631980583e-5,<0.001,***,TRUE
adjust_asd_medication_disorder_records,(Intercept),-1.1960556325370766,0.13445410681053138,-8.895642244848062,5.808240849301663e-19,<0.001,***,TRUE
adjust_asd_medication_disorder_records,GroupCTRL,0.06407460921521105,0.1540810083920471,0.4158501419732288,0.677519664915653,0.678,,FALSE
adjust_asd_medication_disorder_records,fix.L,1.0127833284399337,0.17485733056200148,5.792055301226378,6.953023876923601e-9,<0.001,***,TRUE
adjust_asd_medication_disorder_records,fix.Q,1.388015317789602,0.1843796652958961,7.528028188803184,5.15122729952121e-14,<0.001,***,TRUE
adjust_asd_medication_disorder_records,fix.C,0.2613823488121799,0.19232645612492585,1.3590556082539094,0.17412896822292617,0.174,,FALSE
adjust_asd_medication_disorder_records,medicationNAL/PLA,0.07513650450054798,0.11893705073474216,0.6317333752298955,0.5275611154022067,0.528,,FALSE
adjust_asd_medication_disorder_records,medicationPLA/OXT,0.009832833753566582,0.11678089029604997,0.08419899633098764,0.9328982161681809,0.933,,FALSE
adjust_asd_medication_disorder_records,medicationPLA/PLA,-0.0039849194023260925,0.12052727220113113,-0.033062387703226344,0.9736248366054471,0.974,,FALSE
adjust_asd_medication_disorder_records,Sexm,0.08218273308351642,0.08960140223675678,0.9172036489603393,0.35903593507087417,0.359,,FALSE
adjust_asd_medication_disorder_records,asd_medication_record_factorTRUE,-0.081756683750671,0.0999276228648543,-0.8181589975500734,0.4132664044236077,0.413,,FALSE
adjust_asd_medication_disorder_records,asd_disorder_record_factorTRUE,0.06121949805385418,0.10476590638500959,0.5843456155371339,0.558987808207698,0.559,,FALSE
adjust_asd_medication_disorder_records,sessionsession_2,-0.025965844091606537,0.0791363198725394,-0.32811538536829005,0.7428244215473229,0.743,,FALSE
adjust_asd_medication_disorder_records,sessionsession_3,-0.023221843831321132,0.07966955742826375,-0.2914770030225234,0.7706865296206598,0.771,,FALSE
adjust_asd_medication_disorder_records,sessionsession_4,-0.01782276531093498,0.07943047136632715,-0.22438196581684344,0.822460102149077,0.822,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.L,-0.6545064512932947,0.23974467612258538,-2.7300145382942094,0.006333153256459317,0.006,**,TRUE
adjust_asd_medication_disorder_records,GroupCTRL:fix.Q,-0.49557981057905387,0.2517734679696349,-1.9683559772025827,0.04902709339192612,0.049,*,TRUE
adjust_asd_medication_disorder_records,GroupCTRL:fix.C,-0.5154376887608852,0.2631766705290767,-1.958523480537527,0.050168618577128586,0.050,.,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:medicationNAL/PLA,-0.02367277088638361,0.1625709020777722,-0.14561505523945983,0.884225282309387,0.884,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:medicationPLA/OXT,-0.023286633014636578,0.16003934529526406,-0.14550567531799122,0.884311635182494,0.884,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:medicationPLA/PLA,0.0024339801249823535,0.16408434745977882,0.014833713042488608,0.9881648434183639,0.988,,FALSE
adjust_asd_medication_disorder_records,fix.L:medicationNAL/PLA,-0.09022920619848193,0.22653843874614185,-0.39829534757053947,0.6904124895006392,0.690,,FALSE
adjust_asd_medication_disorder_records,fix.Q:medicationNAL/PLA,-0.18068861781325227,0.23713358882826074,-0.7619697348911308,0.4460780676669366,0.446,,FALSE
adjust_asd_medication_disorder_records,fix.C:medicationNAL/PLA,0.0437632804261645,0.2474015671774848,0.17689168636013092,0.8595934689683535,0.860,,FALSE
adjust_asd_medication_disorder_records,fix.L:medicationPLA/OXT,-0.13415636760644944,0.2231424326365262,-0.6012140587575964,0.5476974218240611,0.548,,FALSE
adjust_asd_medication_disorder_records,fix.Q:medicationPLA/OXT,-0.2842026528548098,0.23334440671475257,-1.2179535685302623,0.22324161774368695,0.223,,FALSE
adjust_asd_medication_disorder_records,fix.C:medicationPLA/OXT,0.025573041449221207,0.2429862784128337,0.10524479660440993,0.9161815655238849,0.916,,FALSE
adjust_asd_medication_disorder_records,fix.L:medicationPLA/PLA,0.19034447898051024,0.22914316519651126,0.8306792778098897,0.4061548357535878,0.406,,FALSE
adjust_asd_medication_disorder_records,fix.Q:medicationPLA/PLA,-0.0433953352078395,0.23939872682664812,-0.1812680283770375,0.8561571999442891,0.856,,FALSE
adjust_asd_medication_disorder_records,fix.C:medicationPLA/PLA,-0.0021705662556705104,0.2494188024082073,-0.008702496502721908,0.993056500042677,0.993,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:Sexm,-0.06758214526446998,0.11876031944152474,-0.5690633503031803,0.5693131489854881,0.569,,FALSE
adjust_asd_medication_disorder_records,fix.L:Sexm,-0.8766347406666187,0.16125060110845674,-5.436474249649441,5.4345188924249015e-8,<0.001,***,TRUE
adjust_asd_medication_disorder_records,fix.Q:Sexm,-0.5475322301867895,0.1687950445682695,-3.2437695762172627,0.0011795912966656346,0.001,**,TRUE
adjust_asd_medication_disorder_records,fix.C:Sexm,-0.724500481136617,0.17489857405188072,-4.142403590561614,3.4368485692829475e-5,<0.001,***,TRUE
adjust_asd_medication_disorder_records,GroupCTRL:fix.L:medicationNAL/PLA,0.2658323302316108,0.3094896130595717,0.8589378092648376,0.39037482820283315,0.390,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.Q:medicationNAL/PLA,0.21522065755984573,0.32273658319049126,0.666861672241273,0.504860494909007,0.505,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.C:medicationNAL/PLA,0.08043871100893772,0.33545685672209036,0.23978854328673707,0.8104941890337858,0.810,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.L:medicationPLA/OXT,0.14734452644714005,0.30378207316740663,0.48503364570147695,0.6276524790736832,0.628,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.Q:medicationPLA/OXT,0.35547862909399897,0.3167836477439716,1.1221495542007935,0.26179885719042206,0.262,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.C:medicationPLA/OXT,-0.22082884488422766,0.3291710722534113,-0.6708634612771297,0.5023075150933567,0.502,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.L:medicationPLA/PLA,-0.2897172138018931,0.31009279715303223,-0.9342919811804474,0.35015329957313673,0.350,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.Q:medicationPLA/PLA,0.3850720823272846,0.3240486835728906,1.1883155274126198,0.23470912252647624,0.235,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.C:medicationPLA/PLA,-0.0493794850704978,0.33738000860565587,-0.14636162134969488,0.8836359227230512,0.884,,FALSE
adjust_asd_medication_disorder_records,GroupCTRL:fix.L:Sexm,0.6884716960431801,0.21948447219340586,3.136767212563953,0.0017082169681039516,0.002,**,TRUE
adjust_asd_medication_disorder_records,GroupCTRL:fix.Q:Sexm,0.27357292813469447,0.22936922872140858,1.1927185248853742,0.2329796280728344,0.233,,FALSE
