Group,fix,Sex,response,SE,df,asymp.LCL,asymp.UCL
ASD,Eyes,Female,0.18360018069790032,0.02732148628875868,Inf,0.13594369075584242,0.24325973984367644
CTRL,Eyes,Female,0.30128808666089196,0.022581623904119937,Inf,0.2589533998809209,0.347300184507396
ASD,Background,Female,0.5269074086369355,0.045644652217139814,Inf,0.4375396945874566,0.6145835773934962
CTRL,Background,Female,0.3889024884981398,0.02451802906569397,Inf,0.34205979654978025,0.4378906175540502
ASD,Eyes,Male,0.303271478953881,0.033502216696215205,Inf,0.24185643894520284,0.37261691316085205
CTRL,Eyes,Male,0.3038042586986819,0.02090103906114277,Inf,0.2644570819822961,0.34624985760071064
ASD,Background,Male,0.306277928540159,0.03354044476033923,Inf,0.24471975510853453,0.3756198644245208
CTRL,Background,Male,0.32919526148472944,0.021338392615282063,Inf,0.28880019043673005,0.37228286487272355
