model,contrast,fix,medication,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p_value,p_display,sig,significant_0_05,highlight
duration_beta_glmmtmb,ASD - CTRL,Eyes,BOTH,-0.30259141646659715,0.21494159612960304,Inf,-0.7238692036601728,0.11868637072697857,-1.4077843559147296,0.15919493411617866,0.159,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Mouth,BOTH,-0.14537246447805302,0.23703166174091275,Inf,-0.6099459846859225,0.3192010557298165,-0.6133039924301432,0.5396753540218575,0.540,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Face,BOTH,-0.29698776435496216,0.2265935009151897,Inf,-0.7411028652795777,0.14712733656965332,-1.3106632059412855,0.1899715747663471,0.190,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Background,BOTH,0.5546866257136368,0.20626802966589297,Inf,0.15040871640644726,0.9589645350208263,2.6891546237781117,0.007163323014417605,0.007 **,**,TRUE,significant
duration_beta_glmmtmb,ASD - CTRL,Eyes,NAL,-0.30471902613009316,0.22054866601997042,Inf,-0.736986468367588,0.12754841610740159,-1.3816407581558494,0.16708203274100097,0.167,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Mouth,NAL,0.03323013626418954,0.2384886476406116,Inf,-0.4341990238330724,0.5006592963614515,0.13933634406894455,0.889184371571683,0.889,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Face,NAL,-0.1401195946330609,0.22969568099215265,Inf,-0.5903148567820815,0.31007566751595966,-0.610022765895402,0.5418467268731975,0.542,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Background,NAL,0.3477473529296194,0.20971527257401226,Inf,-0.06328702832344513,0.7587817341826839,1.658188021603878,0.09727952175461353,0.097 .,.,FALSE,trend
duration_beta_glmmtmb,ASD - CTRL,Eyes,OXT,-0.32570516568942975,0.21440714354752116,Inf,-0.7459354450706805,0.09452511369182104,-1.519096613575473,0.12873817901697607,0.129,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Mouth,OXT,0.17124555574713124,0.23557148695872784,Inf,-0.2904660744765223,0.6329571859707848,0.7269366847318559,0.46726474307621346,0.467,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Face,OXT,-0.29557093911641585,0.22376396426652245,Inf,-0.7341402501167074,0.14299837188387565,-1.3209049995394477,0.1865330425421437,0.187,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Background,OXT,0.36708515428736527,0.20680259832103998,Inf,-0.038240490331176435,0.772410798905907,1.7750509774422802,0.07588947035015135,0.076 .,.,FALSE,trend
duration_beta_glmmtmb,ASD - CTRL,Eyes,PLA,-0.5923875932766989,0.2208214423906323,Inf,-1.0251896673765244,-0.15958551917687325,-2.682654305956246,0.007304044765053553,0.007 **,**,TRUE,significant
duration_beta_glmmtmb,ASD - CTRL,Mouth,PLA,0.010789323746998272,0.24517678482750496,Inf,-0.4697483443602377,0.49132699185423423,0.044006302450654705,0.9648993801068813,0.965,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Face,PLA,-0.12680600211814583,0.23283480498537756,Inf,-0.5831538342368928,0.3295418300006011,-0.5446178981965754,0.5860163423252152,0.586,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Background,PLA,0.5455438460309969,0.21038273129755025,Inf,0.1332012697186309,0.957886422343363,2.5931018323905057,0.009511460318320529,0.010 **,**,TRUE,significant
