model,contrast,fix,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p_value,p_display,sig,significant_0_05,highlight
duration_beta_glmmtmb,ASD - CTRL,Eyes,-0.38135080039070474,0.10928934603317894,Inf,-0.5955539825096708,-0.16714761827173863,-3.4893684904558873,4.8416322421254905e-4,<0.001 ***,***,TRUE,significant
duration_beta_glmmtmb,ASD - CTRL,Mouth,0.01747313782006649,0.11949398284864432,Inf,-0.21673076493252327,0.2516770405726563,0.14622608941069978,0.8837429105461564,0.884,,FALSE,
duration_beta_glmmtmb,ASD - CTRL,Face,-0.2148710750556462,0.11453874678680574,Inf,-0.43936289359213826,0.00962074348084585,-1.875968448088505,0.06065961256735201,0.061 .,.,FALSE,trend
duration_beta_glmmtmb,ASD - CTRL,Background,0.4537657447404046,0.10436520673910916,Inf,0.24921369829267376,0.6583177911881355,4.347864186909748,1.3746968262835074e-5,<0.001 ***,***,TRUE,significant
