contrast,medication,Group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
f - m,NAL/OXT,ASD,-0.005511278391686496,0.016475982884840062,176.86042738265647,-0.03802610209664585,0.027003545313272856,-0.334503770136685,0.7383957963672323
f - m,NAL/PLA,ASD,0.048913401549724456,0.03602960663670587,164.26499614402059,-0.022227449453482193,0.1200542525529311,1.3575891083943439,0.17645621505200654
f - m,PLA/OXT,ASD,0.01945891894120154,0.029131666203434263,183.92826064285074,-0.03801627478221076,0.07693411266461384,0.6679645031394591,0.5049935612984311
f - m,PLA/PLA,ASD,0.010579090223204825,0.032964688204021424,168.82588143286284,-0.054496999521565045,0.0756551799679747,0.3209218955061818,0.7486664954796828
f - m,NAL/OXT,CTRL,0.014041722960737874,0.025979613559302447,173.3402856345109,-0.03723538458959158,0.06531883051106732,0.540490062667233,0.5895529128750006
f - m,NAL/PLA,CTRL,-0.046562481456614915,0.02289460675318467,158.1647370736744,-0.0917810742945344,-0.0013438886186954296,-2.0337751138764597,0.04364553357233775
f - m,PLA/OXT,CTRL,0.004847631659597028,0.029317707706601293,168.47690396392676,-0.05302976416394396,0.06272502748313802,0.16534824987376198,0.8688681210010984
f - m,PLA/PLA,CTRL,-0.0010899186009937605,0.04053932215233727,157.68909222567103,-0.0811600307551752,0.07898019355318767,-0.02688546682892481,0.9785850793758644
