Group,term,contrast,null.value,estimate,std.error,df,statistic,p.value,p_display,sig
ASD,Sex,f - m,0,4.199999999999995,1.9618570582188481,55,2.1408287532492993,0.036736019302212604,0.037,*
CTRL,Sex,f - m,0,-1.2857142857142847,1.8050799843060485,55,-0.7122755206931006,0.4793049404500932,0.479,
