Group,Sex,n,mean_AQ,sd_AQ,median_AQ,min_AQ,max_AQ
ASD,f,15,25.866666666666667,4.172472146045292,26,18,32
ASD,m,12,21.666666666666668,7.240458716424148,23.5,12,30
CTRL,f,14,8.714285714285714,4.103067734654747,8,3,15
CTRL,m,18,10,4.677857729899069,9,3,21
