Sex,term,contrast,null.value,estimate,std.error,df,statistic,p.value,p_display,sig
f,Group,ASD - CTRL,0,17.152380952380934,1.8823963989672237,55,9.111992012836183,1.3998575156857939e-12,<0.001,***
m,Group,ASD - CTRL,0,11.666666666666654,1.8877978344570339,55,6.180040284886864,8.223518006048953e-8,<0.001,***
