model,term,p_value,p_display,sig,significant_0_05,highlight,Estimate,Std. Error,t value
group_outcome_model,(Intercept),1.1890577660770594e-37,<0.001 ***,***,TRUE,significant,1.0266324639923086,0.06648313942059624,15.441997368648051
group_outcome_model,GroupASD,0.39666817842356994,0.397,,FALSE,,-0.06574840492566142,0.07743010564105482,-0.8491323159295865
group_outcome_model,SIAS,0.6292272781387944,0.629,,FALSE,,-0.0010467298035305862,0.0021651428926643987,-0.48344606126318673
