contrast,Group,fix,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
f - m,ASD,Eyes,-0.2562237308715774,0.07120264019044228,279.09437872300845,-0.39638614422167434,-0.11606131752148047,-3.598514467810015,3.78528884996852e-4
f - m,CTRL,Eyes,-0.013916025387878308,0.06633986893290747,287.39325280453494,-0.14448965208144635,0.11665760130568972,-0.20976865965701888,0.8339968608231787
f - m,ASD,Mouth,-0.07740683278506177,0.07120264019044228,279.09437872300845,-0.2175692461351587,0.06275558056503516,-1.0871343053856632,0.27791543735079727
f - m,CTRL,Mouth,-0.015120623815317646,0.06633986893290741,287.39325280453494,-0.14569425050888557,0.11545300287825028,-0.2279266458999163,0.8198653424137139
f - m,ASD,Face,-0.30236259465859056,0.07120264019044228,279.09437872300845,-0.4425250080086875,-0.16220018130849362,-4.246508189160905,2.9603884690294134e-5
f - m,CTRL,Face,-0.031241749258156166,0.06633986893290746,287.39325280453494,-0.16181537595172418,0.09933187743541184,-0.4709347449834786,0.6380445831031921
f - m,ASD,Background,0.18155389056461835,0.0712026401904423,279.09437872300845,0.04139147721452138,0.3217163039147153,2.5498196426287683,0.011312678504983197
f - m,CTRL,Background,0.129406424160419,0.06633986893290746,287.39325280453494,-0.0011672025331490032,0.259980050853987,1.9506584236892845,0.05206946626287828
