model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
t2t3_summary_model,Group,0.26911056204631245,0.269,,FALSE,,8.960897410769956,8.960897410769956,1,68.5357873872566,1.2413108936988149
t2t3_summary_model,medication,5.014579337827539e-7,<0.001 ***,***,TRUE,significant,252.20881602924618,84.06960534308206,3,185.03289315992106,11.64576628406698
t2t3_summary_model,Group:medication,0.671944033490742,0.672,,FALSE,,11.16903589307697,3.7230119643589896,3,185.03289174622853,0.5157313042302475
