model,Group,AUCi_z.trend,std.error,df,statistic,p.value,p_display,sig
auci_background_duration_model,ASD,-0.18669763688303506,0.07057813308266558,Inf,-2.6452617649203467,0.008162774372495652,0.008,**
auci_background_duration_model,CTRL,0.008822438439853142,0.07234152060820513,Inf,0.12195539111811926,0.9029343472072496,0.903,
