model,Group,AUCi_trim_z.trend,std.error,df,statistic,p.value,p_display,sig
auci_eye_duration_trim90_model,ASD,0.2971852327424026,0.09439302021795605,Inf,3.148381438121101,0.0016417730799796176,0.002,**
auci_eye_duration_trim90_model,CTRL,-0.12136367812691884,0.07446736419798636,Inf,-1.6297565978600943,0.10315295014582695,0.103,
