T2T3_response,Group,n_sessions,n_participants,mean_eye_duration,sd_eye_duration,sem_eye_duration,mean_T2T3
Decrease,ASD,49,24,0.2896413293937038,0.19735790550465315,0.028193986500664736,-1.8191836734693878
Decrease,CTRL,56,31,0.3269167257070874,0.19540988606089496,0.02611274441530007,-1.3146428571428572
Non-response,ASD,33,19,0.2693074433687878,0.16528372686399906,0.02877220374010676,-0.16121212121212122
Non-response,CTRL,33,24,0.3279778270704675,0.19839473641420766,0.034536090668933796,-0.18333333333333335
Increase,ASD,23,17,0.3275982412310064,0.21928123217438714,0.04572329764055571,3.788695652173913
Increase,CTRL,30,20,0.2808149145483476,0.14494774301971622,0.026463716170453518,3.7216666666666667
