model,Group,AUCi_z.trend,std.error,df,statistic,p.value,p_display,sig
auci_eye_duration_model,ASD,0.21606426015367214,0.0827899737814066,Inf,2.6097877591331837,0.009059841286774359,0.009,**
auci_eye_duration_model,CTRL,-0.0718572763392129,0.07759436431577849,Inf,-0.9260630842567652,0.35441319716481584,0.354,
