model,Group,T2T3_z.trend,std.error,df,statistic,p.value,p_display,sig
t2t3_eye_duration_model,ASD,0.12760060287595962,0.0671165003496871,Inf,1.9011808156137644,0.05727833301146479,0.057,.
t2t3_eye_duration_model,CTRL,-0.15728231877794943,0.07184673095803415,Inf,-2.1891367454118185,0.02858690247988715,0.029,*
